1,住宅燃燒排放-液化石油氣
5,住宅燃燒排放-天然氣
7,商業燃燒排放
7A,商業燃燒排放-液化石油氣
7B,餐飲業油煙排放-中式餐飲
7C,餐飲業油煙排放-西式餐飲
7D,餐飲業油煙排放-日式餐飲
7E,餐飲業油煙排放-速食餐飲
7F,餐飲業油煙排放-複合式餐飲
7G,餐飲業油煙排放-其他餐飲
9,商業燃燒排放-蒸餾油
9A,商業燃燒排放-柴油
9B,商業燃燒排放-煤油
10,商業燃燒排放-重油
11,商業燃燒排放-天然氣
39,農業機械汽油燃燒排放
39A,農業機械汽油燃燒排放-曳引機
39B,農業機械汽油燃燒排放-非曳引機
43,農業機械柴油燃燒排放
43A,農業機械柴油燃燒排放-曳引機
43B,農業機械柴油燃燒排放-非曳引機
44,施工機具排放
44A,施工機具排放-柴油
44B,施工機具排放-汽油
45,鐵路機關車柴油燃燒排放
48,航空器燃燒排放
50,船舶燃燒-漁船柴油
51,船舶燃燒
51A,船舶燃燒-重油(進港切換成A油近似柴油)-港區內
51B,船舶燃燒-柴油發電機-港區內
51C,船舶燃燒-重油(進港切換成A油近似柴油)-離岸
51D,船舶燃燒-柴油發電機-離岸
60,森林火災燃燒排放
62,農業燃燒排放
62A,農業燃燒排放-旱田
62B,農業燃燒排放-椰子
62C,農業燃燒排放-番荔枝
62D,農業燃燒排放- 棗
62E,農業燃燒排放-荔枝
62F,農業燃燒排放-蓮霧
62G,農業燃燒排放-檳榔
62H,農業燃燒排放-龍眼
62I,農業燃燒排放-柑橘類
63,農業燃燒排放-稻田
63A,農業燃燒排放-一期作稻田
63B,農業燃燒排放-二期作稻田
64,建物火災燃燒排放
65,金紙燃燒
65A,金紙燃燒-寺廟
65B,金紙燃燒-一般住家
65C,金紙燃燒-殯葬業
66,夜市燃燒排放
110,車輛行駛揚塵
110A,車輛行駛揚塵（鋪面道路）-高速公路
110B,車輛行駛揚塵（鋪面道路）-省道
110C,車輛行駛揚塵（鋪面道路）-縣道
110D,車輛行駛揚塵（鋪面道路）-市鄉道
111,車輛行駛揚塵（未鋪面道路）
111A,車輛行駛揚塵（未鋪面道路(砂路)-大車）
111B,車輛行駛揚塵（未鋪面道路(砂路)-小車）
111C,車輛行駛揚塵（未鋪面道路(砂路)-機車）
111D,車輛行駛揚塵（未鋪面道路(土路)-大車）
111E,車輛行駛揚塵（未鋪面道路(土路)-小車）
111F,車輛行駛揚塵（未鋪面道路((土路)-機車）
112,農業操作排放
112A,農耕整地排放
112B,農田風蝕
112C,長期休閒地風蝕
113,營建工程-道路修築排放
113A,道路工程-道路
113B,道路工程-隧道
113C,管線開挖工程
113D,橋樑工程
114,營建工程-建築施工排放
114A,建築工程-RC結構
114B,建築工程-鋼骨結構
114C,建築工程-拆除
114D,區域開發工程-工業
114E,區域開發工程-社區
114F,區域開發工程-遊樂區
114G,其他工程
115,礦場操作
115A,礦場物料操作
115B,礦場車輛行駛揚塵
115C,礦場風蝕
116,裸露地表風蝕
116A,裸露地表風蝕-學校操場
116B,裸露地表風蝕-海岸線長度
116C,裸露地表風蝕-一般
116D,裸露地表風蝕-山坡崩坍地
116E,裸露地表風蝕-河川(淡水河)
116F,裸露地表風蝕-河川(大甲溪)
116G,裸露地表風蝕-河川(大安溪)
116H,裸露地表風蝕-河川(烏溪)
116I,裸露地表風蝕-河川(濁水溪)
116J,裸露地表風蝕-河川(八掌溪)
116K,裸露地表風蝕-河川(曾文溪)
116L,裸露地表風蝕-河川(高屏溪)
116M,裸露地表風蝕-河川(卑南溪)
116N,裸露地表風蝕-河川(花蓮溪)
116O,裸露地表風蝕-河川(急水溪)
116P,裸露地表風蝕-河川(陳有蘭溪)
116Q,裸露地表風蝕-河川(蘭陽溪)
116R,裸露地表風蝕-河川(和平溪)
116S,裸露地表風蝕-河川(立霧溪)
116T,裸露地表風蝕-河川(秀姑巒溪)
116U,裸露地表風蝕-河川(其他)
54,加油站
54A,加油逸散損失-汽油
54B,貯存損失-汽油
55,海運
55A,海運裝載損失-甲漁
55B,海運裝載損失-乙漁
56,鐵運及槽車裝載損失
56A,鐵運及槽車裝載損失-汽油
56B,鐵運及槽車裝載損失-航空燃油(JP-4)
56C,鐵運及槽車裝載損失-航空燃油(Jet Ker.)
82,建築表面塗裝
82A,建築表面塗裝-油性塗料
82B,建築表面塗裝-水性塗料
101,道路瀝青鋪設
101A,"道路瀝青鋪設-油溶(RC,MC)"
101C,道路瀝青鋪設-乳化
101D,道路瀝青鋪設-膠泥
83,汽車保養-補漆
78,汽車保養-維修
79,乾洗業
80,印刷業
93,工業製品表面塗裝
93B,工業製品表面塗裝
106,原料藥製造業
94,一般消費用品
81,塑膠製品製造業
81A,塑膠製品製造業-膠帶製造
81B,塑膠製品製造業-PU皮
81C,塑膠製品製造業-PVC皮加工
81D,塑膠製品製造業-不飽和聚酯加工
81K,製鞋業
81L,工業乾洗油使用
95,印刷電路板製造業
100,垃圾場之逸散性排放
94,農業操作之農藥使用逸散排放
94B,農業操作之農藥使用逸散排放
