630001,工業廢水(含畜牧)
630002,家庭廢水(有妥善處理者)
630003,未處理家庭污水
810003,抽煙
810010,人類汗水
805020,牛
805020A,食用牛(含黃牛及雜種牛、黃役牛及水牛)
805020B,乳牛(含荷蘭牛、產乳牛、乳公牛)
805025,豬
805025A,食用豬(哺乳小豬、肉豬<30kg、肉豬30-60、肉豬>60)
805025B,種豬
805030,雞+鵪鶉
805030A,家禽-雞(所有類別合計)
805030B,鵪鶉（以雞係數推估）
805035,鴨+火雞+鵝+鴕鳥
805035A,鴨(所有類別合計)
805035B,屠宰火雞
805035C,"鵝（原以鴨係數推估,改參考羊）"
805035D,鴕鳥（以屠宰火雞係數推估）
805040,羊
805040A,肉用羊(母羊)
805040B,乳用羊(山羊)
805045,鹿+兔
805045A,鹿(所有類別合計)
805045B,兔
710020,貓+狗+馬
710020A,貓
710020B,狗
710020C,馬
801700,農業施肥
801700A,農業施肥-尿素
801700B,農業施肥-硫酸氨
801700C,農業施肥-硝酸銨鈣
801700G,農業施肥-複合肥料
IndFer,肥料製造業製程排放
Indcom,工業燃料燃燒
mobcom,運輸燃料燃燒
mobcomA,航空燃料燃燒
mobcomB,鐵路燃料燃燒
mobcomC,水運燃料燃燒
mobcomD,公路燃料燃燒
agrcom,農林漁業燃料燃燒
agrcomA,農林業燃料燃燒
agrcomB,漁業燃料燃燒
rescom,住宅部門燃料燃燒
rescomA,住宅部門燃料燃燒
comcom,商業部門燃料燃燒
comcomB,商業部門燃料燃燒
NE-pw,電力業-燃煤+燃油-無NOx控制
CE-pw,電力業-燃煤+燃油-有NOx控制
NE-pwA,電力業-燃煤-無NOx控制
CE-pwA,電力業-燃煤-有NOx控制
NE-pwB,電力業-燃油-無NOx控制
CE-pwB,電力業-燃油-有NOx控制
E-pw,電力業-天然氣+柴油
E-pwC,電力業-天然氣
E-pwD,電力業-柴油
CPPcom,煉油業燃料燃燒
BIO-B,熱帶草原(竹林)
BIO-C,森林-針葉樹林
BIO-D,農田-旱田
BIO-G,一般類(非森林地-其它)
BIO-H,森林-闊葉樹林
BIO-L,草原(草生地)
BIO-M,森林-闊針葉混合林
BIO-P,農田-水田
BIO-T,熱帶草原(非森林地-其它林業用地)
BIO-U,都市/裸露地(裸露崩塌地)
